Bellamy, Lou - Game Statistics
Date	Opponent	PTS	MIN	FGM-FGA	3PM-3PA	FTM-FTA	REB	AST	BLK	STL	TO	PF
11/07/25	Pitt.-Bradford	31	34	7-11	1-4	16-19	11	4	0	2	4	3
11/08/25	CWRU	15	30	5-14	1-3	4-5	5	1	0	1	0	2
11/13/25	Alfred St.	24	26	10-21	1-4	3-4	8	4	0	0	7	1
11/19/25	Hilbert	8	26	3-12	0-2	2-2	7	3	0	2	5	3
11/22/25	Buffalo State	21	38	7-12	1-3	6-6	17	1	2	2	9	4
11/25/25	SUNY Morrisville	14	26	6-11	0-2	2-5	13	4	0	0	4	4
12/09/25	Grove City	23	36	4-12	1-4	14-15	14	8	1	1	1	3
12/12/25	Fredonia	22	23	8-12	2-3	4-4	9	2	1	2	2	3
01/03/26	Bethany (WV)	24	36	7-19	0-3	10-15	18	1	0	0	4	2
01/06/26	Nazareth	13	30	4-10	0-2	5-8	9	0	2	2	8	4
01/09/26	Utica	19	37	7-14	0-4	5-5	10	3	0	1	2	3
01/10/26	SUNY Poly	16	33	6-16	2-4	2-4	8	2	1	0	3	3
01/13/26	St. John Fisher	19	35	6-12	1-4	6-9	12	7	0	1	10	5
01/16/26	Russell Sage	12	26	3-10	2-5	4-4	9	1	0	0	6	4
01/17/26	Hartwick	30	36	10-19	7-13	3-4	11	2	0	1	3	3
01/23/26	Brockport	15	34	6-13	2-6	1-2	12	2	1	1	2	3
01/24/26	Geneseo	22	31	9-15	3-7	1-2	4	4	0	0	5	5
01/27/26	Alfred	33	44	11-19	5-8	6-6	11	3	0	2	6	4
01/30/26	Keuka	12	18	4-10	4-8	0-0	7	2	0	0	4	5
01/31/26	Elmira	13	35	6-16	1-5	0-1	15	1	1	1	5	2
02/06/26	SUNY Poly	19	31	7-16	2-8	3-6	6	1	0	2	3	2
02/07/26	Utica	26	35	9-23	3-11	5-6	14	4	0	3	5	2

-----
Clark, Tyson - Game Statistics
Date	Opponent	PTS	MIN	FGM-FGA	3PM-3PA	FTM-FTA	REB	AST	BLK	STL	TO	PF
11/07/25	Pitt.-Bradford	16	26	5-10	1-3	5-6	6	3	0	0	3	2
11/08/25	CWRU	7	23	3-4	0-1	1-2	0	1	0	1	1	2
11/13/25	Alfred St.	12	29	5-10	2-3	0-0	2	6	0	2	1	0
11/19/25	Hilbert	17	22	7-10	1-1	2-3	1	1	0	1	2	2
11/22/25	Buffalo State	7	28	2-7	1-3	2-2	0	2	0	1	1	3
11/25/25	SUNY Morrisville	25	34	9-12	2-5	5-7	8	1	0	0	3	2
12/09/25	Grove City	22	33	5-6	3-4	9-9	2	1	0	2	3	1
12/12/25	Fredonia	12	27	5-7	2-2	0-1	2	3	0	3	2	1
01/03/26	Bethany (WV)	11	35	4-8	1-3	2-2	1	1	0	2	2	1
01/06/26	Nazareth	17	30	6-7	3-3	2-2	2	1	0	0	5	1
01/09/26	Utica	12	37	6-13	0-5	0-1	4	2	0	2	4	4
01/10/26	SUNY Poly	16	33	6-11	0-1	4-4	4	3	0	1	3	1
01/13/26	St. John Fisher	24	32	6-13	3-5	9-9	7	2	1	1	3	4
01/16/26	Russell Sage	10	34	3-13	1-7	3-4	1	5	0	0	3	2
01/17/26	Hartwick	22	34	8-15	2-4	4-4	1	1	0	0	2	3
01/23/26	Brockport	5	32	2-10	1-6	0-2	3	3	0	0	3	4
01/24/26	Geneseo	16	35	4-11	2-5	6-6	3	5	0	2	4	3
01/27/26	Alfred	7	39	1-7	0-4	5-6	5	2	0	1	4	2
01/30/26	Keuka	22	33	8-17	4-7	2-2	3	2	0	1	3	0
01/31/26	Elmira	17	31	8-16	0-3	1-1	4	0	0	3	3	1
02/06/26	SUNY Poly	5	29	2-10	0-1	1-2	2	2	1	3	2	3
02/07/26	Utica	27	33	10-15	3-5	4-5	4	1	0	2	4	3

-----
Verschoyle, Jake - Game Statistics
